Image number,pos_x,pos_y,pos_z,o_x,o_y,o_z,o_w
0,-0.1460141242937853,-0.1689422632794457,0.8344996583157589,-0.01802947110158251,0.9781371956296593,0.11792998341224648,-0.17033814519927715
1,0.019796230598669622,-0.09012903225806451,0.655017470163589,0.05896982208294512,0.8807215411440248,0.3674255690590798,0.29300269324702616
2,-0.01460141242937853,-0.18350917431192662,0.8344996583157589,0.039070114977521546,0.9511501255048425,0.29994862844185105,0.061788228357982034
3,-0.28873373493975907,-0.045080152671755726,0.8897978284451165,-0.03032478760128433,0.9500607005117576,0.2147945138098413,0.2243398971142655
4,-0.2175155477031802,0.05732370820668693,1.0438617634055782,0.23989357212547446,0.9134840936629957,0.3027321390708465,-0.12787156310597278
5,-0.4810880952380952,-1.7996170212765956,2.344546659077608,0.1641091700228367,-0.14157250495741175,0.06050457911201018,0.9743534276949909
6,-0.2778539130434783,-0.04264925373134329,0.8562692146196482,-0.04261459562854487,0.9347954063727881,0.333583010905466,0.11429750346789411
7,-0.21159239766081872,0.01576551724137931,0.8637803480812242,0.16684975962632115,0.9794266585026756,0.09040463329617947,-0.06864095428754952
8,0.019665418502202645,-0.09355516014234876,0.6506891608893802,0.05606554119364616,0.9034925874122235,0.32068843428218596,0.27877720082436674
9,-0.2811131964809384,-0.04485189873417721,0.8663134282808757,-0.04304668510243508,0.9640336662054882,0.2603763657007777,-0.031467785250185384
10,-0.4810880952380952,-1.7996170212765956,2.344546659077608,0.1641091700228367,-0.14157250495741175,0.06050457911201018,0.9743534276949909
11,-0.44225882352941176,-5.1435,8.6886140895229,0.6486699515780069,-0.040919260217396586,-0.4961030759474284,0.5757036095931198
12,-0.2175155477031802,0.05924085365853658,1.0438617634055782,0.22359211320808448,0.8657671217494158,0.44752057125843575,0.013386415106319476
13,0.0192489156626506,-0.14662727272727272,0.7118382627560931,0.05869357717012574,0.8927532381628352,0.4282679078195704,0.12701700232879984
14,0.019675615763546796,-0.14873053278688525,0.7276179286792578,0.062135937175002744,0.9239637749308168,0.3563632715576156,0.12423882892128414
15,-0.42025454545454544,-0.05454149377593361,0.7258301696407338,0.0038148396679926946,0.9603625701711689,-0.249267354035016,-0.1247195534987039
16,0.01888486997635934,-0.142875,0.6983756005763089,0.04605089182072728,0.8918855125666129,0.4497844304272678,-0.010654294041573363
17,-0.22410615384615382,-0.04277338877338877,0.7574689206250733,-0.0550336502277092,0.9964976186997014,0.028647242676059108,-0.056063613471641405
18,-0.2200588028169014,0.05592660550458715,1.040186193816122,0.21985584901543187,0.8997926078979447,0.2991440033916427,-0.22923685057324464
19,-0.2802912280701754,-0.043186397984886646,0.8637803480812242,-0.05190597557703077,0.9299520817584923,0.3639917549709362,-0.0022130624982581214
20,-0.30125993031358883,-0.02712816455696202,0.5146565836999628,-0.08854581689360883,0.7302093348617444,0.4200087444926813,0.531551145367117
21,0.018796,-0.08831349911190053,0.6564730645417303,0.04340867472541185,0.9127039006074303,0.35077507509130545,0.20504663730296635
22,0.019483658536585367,-0.1490359342915811,0.7205192171799479,0.05732625906997929,0.9283004592633275,0.3579857808313142,0.082572017506727
23,-0.13820588235294115,-0.16401793721973093,0.7898740081384454,-0.006652132979899664,0.983065156613934,0.10829924421539963,-0.14768182244545935
